# per (PVT corner, control voltage): steady-state current, delivered charge, effective pulse width and edge delays for both polarities
# Both polarities driven from the SAME control edge, one instance each, at the nominal trim code (b1 b0 = 1 0).
# iup_ss/idn_ss: steady-state current late in the 5 ns control pulse (A)
# qup/qdn: charge delivered over the switching event, including the tail-node charge-sharing transient (C).  Sign convention: qup > 0 (sourced into the control node), qdn < 0 (sunk out of it).
# wup/wdn: effective pulse width each polarity presents to the loop, q/i_ss (s)
# wskew: wup - wdn, the effective UP/DN TIMING mismatch (s) -- the quantity that turns charge-pump asymmetry into static phase error
# ton_*/toff_*: 50%-of-i_ss crossing referenced to the 50% control edge (s)
process,temp_c,vdd_v,vctrl_v,iup_ss_a,idn_ss_a,qup_c,qdn_c,wup_s,wdn_s,wskew_s,ton_up_s,ton_dn_s,toff_up_s,toff_dn_s
typical,27,3.30,0.9,5.04154e-06,-5.20483e-06,2.16394e-14,-2.44277e-14,4.29221e-09,4.69327e-09,-4.01057e-10,-9.9981e-11,8.72641e-11,-9.9939e-11,2.9899e-11
typical,27,3.30,1.65,4.99382e-06,-5.09348e-06,2.18208e-14,-2.3163e-14,4.36957e-09,4.54758e-09,-1.78005e-10,-9.99891e-11,5.72233e-12,-9.99385e-11,2.1716e-11
typical,27,3.30,2.4,4.94337e-06,-5.12544e-06,2.06607e-14,-2.27298e-14,4.17948e-09,4.4347e-09,-2.55216e-10,-9.9989e-11,2.7367e-11,-9.99417e-11,1.91193e-11
typical,27,3.63,0.9,5.04599e-06,-5.18821e-06,2.16676e-14,-2.47427e-14,4.29402e-09,4.76904e-09,-4.75015e-10,-9.99712e-11,8.08997e-11,-9.99422e-11,2.94334e-11
typical,27,3.63,1.65,5.01281e-06,-5.08543e-06,2.19279e-14,-2.38215e-14,4.37437e-09,4.68425e-09,-3.09879e-10,-9.999e-11,1.26037e-12,-9.99437e-11,2.07271e-11
typical,27,3.63,2.4,4.87108e-06,-5.16467e-06,2.05445e-14,-2.31416e-14,4.21764e-09,4.48075e-09,-2.63103e-10,-9.99905e-11,-8.52684e-12,-9.99474e-11,1.58318e-11
typical,125,2.97,0.9,4.90598e-06,-5.15178e-06,2.16094e-14,-2.44232e-14,4.40471e-09,4.74072e-09,-3.36014e-10,-9.99762e-11,1.00112e-10,-9.99316e-11,3.79302e-11
typical,125,2.97,1.65,4.79371e-06,-5.10234e-06,2.15656e-14,-2.34697e-14,4.49873e-09,4.59978e-09,-1.01059e-10,-9.99882e-11,2.30591e-11,-9.99376e-11,2.79373e-11
typical,125,2.97,2.4,5.15626e-06,-5.33652e-06,2.23292e-14,-2.42792e-14,4.3305e-09,4.54963e-09,-2.19128e-10,-9.99862e-11,4.44344e-11,-9.99318e-11,2.67138e-11
typical,125,3.30,0.9,4.90618e-06,-5.10924e-06,2.15936e-14,-2.47347e-14,4.40131e-09,4.84117e-09,-4.39866e-10,-9.9976e-11,1.00054e-10,-9.99381e-11,3.64481e-11
typical,125,3.30,1.65,4.81121e-06,-5.07975e-06,2.16788e-14,-2.40142e-14,4.50589e-09,4.72744e-09,-2.21544e-10,-9.99893e-11,2.1317e-11,-9.99434e-11,2.45347e-11
typical,125,3.30,2.4,4.64839e-06,-5.14674e-06,2.03632e-14,-2.29706e-14,4.38071e-09,4.46314e-09,-8.24266e-11,-9.99898e-11,1.99357e-11,-9.99443e-11,2.07409e-11
typical,125,3.63,0.9,4.90639e-06,-5.06453e-06,2.1597e-14,-2.50541e-14,4.40181e-09,4.94698e-09,-5.45171e-10,-9.99841e-11,9.99987e-11,-9.99434e-11,3.60442e-11
typical,125,3.63,1.65,4.82568e-06,-5.06072e-06,2.17724e-14,-2.47417e-14,4.51178e-09,4.88897e-09,-3.77195e-10,-9.99913e-11,1.00016e-10,-9.99487e-11,2.2829e-11
typical,125,3.63,2.4,4.64027e-06,-5.14556e-06,2.06186e-14,-2.34977e-14,4.4434e-09,4.5666e-09,-1.23203e-10,-9.99908e-11,2.34878e-14,-9.99496e-11,1.74617e-11
ff,-40,2.97,0.9,5.20361e-06,-5.21357e-06,2.19273e-14,-2.35365e-14,4.21386e-09,4.51447e-09,-3.00608e-10,-9.99712e-11,5.91537e-11,-9.99226e-11,2.01669e-11
ff,-40,2.97,1.65,5.16904e-06,-5.08903e-06,2.17874e-14,-2.21278e-14,4.21498e-09,4.34814e-09,-1.33157e-10,-9.99877e-11,-1.77575e-11,-9.9931e-11,1.29984e-11
ff,-40,2.97,2.4,5.39085e-06,-5.08547e-06,2.21804e-14,-2.33324e-14,4.11446e-09,4.58804e-09,-4.73586e-10,-9.99855e-11,1.86274e-11,-9.99191e-11,1.19543e-11
ff,-40,3.30,0.9,5.21347e-06,-5.22813e-06,2.19497e-14,-2.39995e-14,4.21019e-09,4.59046e-09,-3.80272e-10,-9.99704e-11,5.4411e-11,-9.99304e-11,2.0476e-11
ff,-40,3.30,1.65,5.1952e-06,-5.08847e-06,2.19569e-14,-2.19114e-14,4.22638e-09,4.30609e-09,-7.9713e-11,-9.99889e-11,-2.34943e-11,-9.99374e-11,1.19132e-11
ff,-40,3.30,2.4,5.16764e-06,-5.09553e-06,2.00169e-14,-2.22088e-14,3.87352e-09,4.35849e-09,-4.84974e-10,-9.99889e-11,-1.31881e-11,-9.99362e-11,5.92467e-12
ff,-40,3.63,0.9,5.22321e-06,-5.24301e-06,2.19823e-14,-2.44469e-14,4.20857e-09,4.66277e-09,-4.54198e-10,-9.99708e-11,5.13943e-11,-9.99368e-11,2.24535e-11
ff,-40,3.63,1.65,5.21691e-06,-5.09489e-06,2.20913e-14,-2.25355e-14,4.23455e-09,4.42316e-09,-1.88604e-10,-9.99898e-11,-2.83288e-11,-9.99428e-11,1.23947e-11
ff,-40,3.63,2.4,5.16055e-06,-5.14261e-06,2.02449e-14,-2.25372e-14,3.92301e-09,4.38244e-09,-4.59427e-10,-9.99901e-11,-3.12416e-11,-9.99436e-11,3.85045e-12
ff,27,2.97,0.9,5.1083e-06,-5.30796e-06,2.1846e-14,-2.41187e-14,4.27656e-09,4.54387e-09,-2.67312e-10,-9.99782e-11,7.02726e-11,-9.99244e-11,2.47766e-11
ff,27,2.97,1.65,5.01881e-06,-5.18482e-06,2.15978e-14,-2.26845e-14,4.30336e-09,4.37518e-09,-7.18124e-11,-9.99879e-11,-1.21161e-11,-9.99295e-11,1.43539e-11
ff,27,2.97,2.4,5.28317e-06,-5.27687e-06,2.18866e-14,-2.39365e-14,4.1427e-09,4.53613e-09,-3.93424e-10,-9.9986e-11,2.34685e-11,-9.99268e-11,1.25001e-11
ff,27,3.30,0.9,5.115e-06,-5.30521e-06,2.18353e-14,-2.45045e-14,4.26888e-09,4.61895e-09,-3.50067e-10,-9.99874e-11,6.5e-11,-9.99304e-11,2.56009e-11
ff,27,3.30,1.65,5.04431e-06,-5.16733e-06,2.17604e-14,-2.28097e-14,4.31386e-09,4.41421e-09,-1.00351e-10,-9.9989e-11,-1.79178e-11,-9.99361e-11,1.3544e-11
ff,27,3.30,2.4,4.91779e-06,-5.242e-06,1.99218e-14,-2.28534e-14,4.05098e-09,4.35966e-09,-3.08686e-10,-9.99894e-11,-1.61921e-11,-9.99432e-11,7.96143e-12
ff,27,3.63,0.9,5.12161e-06,-5.299e-06,2.18347e-14,-2.48849e-14,4.26325e-09,4.69615e-09,-4.32906e-10,-9.99763e-11,6.081e-11,-9.99356e-11,2.73157e-11
ff,27,3.63,1.65,5.06537e-06,-5.1617e-06,2.18877e-14,-2.34648e-14,4.32106e-09,4.54594e-09,-2.24881e-10,-9.999e-11,-2.27343e-11,-9.99415e-11,1.32199e-11
ff,27,3.63,2.4,4.92665e-06,-5.24773e-06,2.01905e-14,-2.30301e-14,4.09821e-09,4.38858e-09,-2.90365e-10,-9.99904e-11,-2.77383e-11,-9.99471e-11,5.59151e-12
ff,125,2.97,0.9,4.96631e-06,-5.209e-06,2.18961e-14,-2.46191e-14,4.40893e-09,4.72627e-09,-3.17341e-10,-9.99831e-11,8.77789e-11,-9.99267e-11,3.10923e-11
ff,125,2.97,1.65,4.82692e-06,-5.17296e-06,2.14589e-14,-2.32371e-14,4.44567e-09,4.49202e-09,-4.63526e-11,-9.99994e-11,-3.38234e-12,-9.99299e-11,1.61294e-11
ff,125,2.97,2.4,5.00635e-06,-5.34277e-06,2.12088e-14,-2.41215e-14,4.23638e-09,4.51479e-09,-2.78406e-10,-9.99869e-11,3.02883e-11,-9.9929e-11,1.28476e-11
ff,125,3.30,0.9,4.97132e-06,-5.2002e-06,2.18623e-14,-2.49107e-14,4.39769e-09,4.79034e-09,-3.92647e-10,-9.9983e-11,8.11108e-11,-9.99327e-11,3.18797e-11
ff,125,3.30,1.65,4.84761e-06,-5.14953e-06,2.15912e-14,-2.37157e-14,4.45398e-09,4.60542e-09,-1.51436e-10,-9.99893e-11,-9.53408e-12,-9.99357e-11,1.57461e-11
ff,125,3.30,2.4,4.65158e-06,-5.25531e-06,2.00145e-14,-2.32801e-14,4.30273e-09,4.42982e-09,-1.27086e-10,-9.99898e-11,-1.27552e-11,-9.99365e-11,7.78357e-12
ff,125,3.63,0.9,4.97478e-06,-5.17776e-06,2.18316e-14,-2.52053e-14,4.38846e-09,4.868e-09,-4.79539e-10,-9.99827e-11,7.60381e-11,-9.9938e-11,3.3063e-11
ff,125,3.63,1.65,4.86483e-06,-5.13172e-06,2.17105e-14,-2.439e-14,4.46274e-09,4.7528e-09,-2.90063e-10,-9.99902e-11,-1.1205e-11,-9.99407e-11,1.63057e-11
ff,125,3.63,2.4,4.67097e-06,-5.22954e-06,2.02756e-14,-2.33556e-14,4.34076e-09,4.46608e-09,-1.25327e-10,-9.99907e-11,-2.12228e-11,-9.99421e-11,7.78513e-12
ss,-40,2.97,0.9,4.90979e-06,-5.02549e-06,2.13093e-14,-2.36231e-14,4.34017e-09,4.70066e-09,-3.60484e-10,-9.99777e-11,1.0004e-10,-9.99404e-11,3.98234e-11
ss,-40,2.97,1.65,5.05371e-06,-4.95835e-06,2.19046e-14,-2.26069e-14,4.33436e-09,4.55936e-09,-2.24996e-10,-9.99878e-11,2.52438e-11,-9.99391e-11,3.31251e-11
ss,-40,2.97,2.4,5.28867e-06,-4.96437e-06,2.30668e-14,-2.29602e-14,4.36156e-09,4.62499e-09,-2.6343e-10,-9.99855e-11,4.29532e-11,-9.99324e-11,3.55169e-11
ss,-40,3.30,0.9,4.91913e-06,-5.02617e-06,2.13576e-14,-2.38821e-14,4.34175e-09,4.75155e-09,-4.098e-10,-9.99829e-11,1.00013e-10,-9.9945e-11,3.47929e-11
ss,-40,3.30,1.65,5.07806e-06,-4.95562e-06,2.20065e-14,-2.27456e-14,4.33365e-09,4.58987e-09,-2.56215e-10,-9.9989e-11,1.85028e-11,-9.99508e-11,2.92435e-11
ss,-40,3.30,2.4,5.2821e-06,-4.99541e-06,2.27229e-14,-2.26655e-14,4.30187e-09,4.53725e-09,-2.35387e-10,-9.99878e-11,3.52357e-11,-9.99394e-11,2.86471e-11
ss,-40,3.63,0.9,4.92741e-06,-5.02539e-06,2.13979e-14,-2.41895e-14,4.34263e-09,4.81346e-09,-4.70835e-10,-9.99723e-11,9.4296e-11,-9.99474e-11,3.06149e-11
ss,-40,3.63,1.65,5.0974e-06,-4.95803e-06,2.21059e-14,-2.33313e-14,4.33671e-09,4.70577e-09,-3.69057e-10,-9.99899e-11,1.30145e-11,-9.99541e-11,2.62308e-11
ss,-40,3.63,2.4,5.02277e-06,-4.98715e-06,2.09225e-14,-2.22901e-14,4.16552e-09,4.4695e-09,-3.03984e-10,-9.99903e-11,8.7427e-12,-9.99479e-11,2.20746e-11
ss,27,2.97,0.9,4.92167e-06,-5.12163e-06,2.14419e-14,-2.4127e-14,4.35663e-09,4.71081e-09,-3.54183e-10,-9.99662e-11,1.00183e-10,-9.99377e-11,4.32997e-11
ss,27,2.97,1.65,4.92268e-06,-5.04582e-06,2.17267e-14,-2.31514e-14,4.4136e-09,4.58824e-09,-1.7464e-10,-9.9988e-11,3.25534e-11,-9.99425e-11,3.67923e-11
ss,27,2.97,2.4,5.27582e-06,-5.16062e-06,2.31257e-14,-2.37438e-14,4.38334e-09,4.60096e-09,-2.17615e-10,-9.99856e-11,5.71325e-11,-9.99344e-11,3.85629e-11
ss,27,3.30,0.9,4.92574e-06,-5.09758e-06,2.14739e-14,-2.43764e-14,4.35953e-09,4.78196e-09,-4.22431e-10,-9.99692e-11,1.00122e-10,-9.99435e-11,3.92989e-11
ss,27,3.30,1.65,4.94312e-06,-5.031e-06,2.18593e-14,-2.3547e-14,4.42217e-09,4.68038e-09,-2.58208e-10,-9.99963e-11,2.58016e-11,-9.99476e-11,3.18995e-11
ss,27,3.30,2.4,5.11269e-06,-5.11754e-06,2.22051e-14,-2.31663e-14,4.34314e-09,4.52684e-09,-1.83699e-10,-9.99882e-11,4.5872e-11,-9.9944e-11,3.19356e-11
ss,27,3.63,0.9,4.92942e-06,-5.0722e-06,2.15083e-14,-2.46602e-14,4.36324e-09,4.86184e-09,-4.98594e-10,-9.99719e-11,1.00069e-10,-9.9948e-11,3.57597e-11
ss,27,3.63,1.65,4.96011e-06,-5.02366e-06,2.191e-14,-2.42665e-14,4.41725e-09,4.83044e-09,-4.13189e-10,-9.99901e-11,2.3421e-11,-9.99509e-11,2.93146e-11
ss,27,3.63,2.4,4.82358e-06,-5.07399e-06,2.08311e-14,-2.29565e-14,4.3186e-09,4.52435e-09,-2.05745e-10,-9.99906e-11,1.54178e-11,-9.99532e-11,2.57302e-11
ss,125,2.97,0.9,4.84006e-06,-5.05522e-06,2.14328e-14,-2.43814e-14,4.42821e-09,4.82302e-09,-3.94808e-10,-9.99699e-11,1.00297e-10,-9.99378e-11,4.8102e-11
ss,125,2.97,1.65,4.76025e-06,-5.03743e-06,2.16185e-14,-2.36251e-14,4.54147e-09,4.68991e-09,-1.48438e-10,-9.99882e-11,4.93481e-11,-9.99432e-11,4.00297e-11
ss,125,2.97,2.4,5.20352e-06,-5.30541e-06,2.29748e-14,-2.42321e-14,4.41524e-09,4.56744e-09,-1.52202e-10,-9.99859e-11,1.00149e-10,-9.99351e-11,4.15482e-11
ss,125,3.30,0.9,4.83819e-06,-5.00379e-06,2.14478e-14,-2.46621e-14,4.43303e-09,4.92869e-09,-4.95657e-10,-9.99714e-11,1.00245e-10,-9.99437e-11,4.43726e-11
ss,125,3.30,1.65,4.7746e-06,-5.02065e-06,2.17299e-14,-2.43527e-14,4.55114e-09,4.8505e-09,-2.99361e-10,-9.99936e-11,1.00202e-10,-9.99484e-11,3.57619e-11
ss,125,3.30,2.4,4.78898e-06,-5.13402e-06,2.12901e-14,-2.32514e-14,4.44563e-09,4.52888e-09,-8.32501e-11,-9.99967e-11,5.80335e-11,-9.99476e-11,3.4656e-11
ss,125,3.63,0.9,4.83642e-06,-4.95082e-06,2.14712e-14,-2.49556e-14,4.43948e-09,5.04071e-09,-6.01224e-10,-9.99731e-11,1.002e-10,-9.99484e-11,4.17505e-11
ss,125,3.63,1.65,4.78703e-06,-5.00214e-06,2.17876e-14,-2.51061e-14,4.55138e-09,5.01906e-09,-4.6768e-10,-9.99903e-11,1.00193e-10,-9.99524e-11,3.20391e-11
ss,125,3.63,2.4,4.61252e-06,-5.05891e-06,2.08634e-14,-2.3436e-14,4.52322e-09,4.63261e-09,-1.09397e-10,-9.99909e-11,2.98738e-11,-9.99544e-11,2.92812e-11
fs,-40,2.97,0.9,5.13379e-06,-5.15959e-06,2.17496e-14,-2.35673e-14,4.23655e-09,4.56768e-09,-3.31124e-10,-9.99642e-11,6.54095e-11,-9.99349e-11,3.52099e-11
fs,-40,2.97,1.65,5.11524e-06,-5.03398e-06,2.19685e-14,-2.22548e-14,4.29472e-09,4.42092e-09,-1.26194e-10,-9.99878e-11,-1.0267e-11,-9.99368e-11,2.88453e-11
fs,-40,2.97,2.4,5.32721e-06,-5.03678e-06,2.30398e-14,-2.33589e-14,4.32492e-09,4.63767e-09,-3.12755e-10,-9.99854e-11,1.76686e-11,-9.99357e-11,3.00076e-11
fs,-40,3.30,0.9,5.1433e-06,-5.17023e-06,2.17899e-14,-2.40192e-14,4.23656e-09,4.64567e-09,-4.09111e-10,-9.99677e-11,5.95792e-11,-9.99387e-11,3.14341e-11
fs,-40,3.30,1.65,5.14158e-06,-5.03132e-06,2.20872e-14,-2.20227e-14,4.2958e-09,4.37712e-09,-8.13226e-11,-9.99889e-11,-1.62927e-11,-9.99426e-11,2.62227e-11
fs,-40,3.30,2.4,5.25339e-06,-5.06385e-06,2.24502e-14,-2.31174e-14,4.27347e-09,4.56518e-09,-2.91707e-10,-9.9988e-11,8.86255e-12,-9.99455e-11,2.46968e-11
fs,-40,3.63,0.9,5.15176e-06,-5.18042e-06,2.18279e-14,-2.44612e-14,4.23697e-09,4.72186e-09,-4.84891e-10,-9.99706e-11,5.55176e-11,-9.99437e-11,3.00573e-11
fs,-40,3.63,1.65,5.16155e-06,-5.03683e-06,2.21798e-14,-2.25805e-14,4.29712e-09,4.48306e-09,-1.85948e-10,-9.99899e-11,-2.09472e-11,-9.99477e-11,2.39343e-11
fs,-40,3.63,2.4,5.08303e-06,-5.08116e-06,2.08734e-14,-2.26134e-14,4.10648e-09,4.45043e-09,-3.43949e-10,-9.99903e-11,-2.59031e-11,-9.99514e-11,1.96964e-11
fs,27,2.97,0.9,5.03485e-06,-5.24431e-06,2.15907e-14,-2.41418e-14,4.28826e-09,4.60342e-09,-3.15162e-10,-9.99655e-11,7.80239e-11,-9.99333e-11,3.88347e-11
fs,27,2.97,1.65,4.98098e-06,-5.12554e-06,2.17552e-14,-2.28154e-14,4.36766e-09,4.45132e-09,-8.36554e-11,-9.99879e-11,-4.61921e-12,-9.99371e-11,3.08651e-11
fs,27,2.97,2.4,5.31545e-06,-5.24587e-06,2.30798e-14,-2.41809e-14,4.34202e-09,4.60951e-09,-2.67491e-10,-9.99881e-11,2.32748e-11,-9.99306e-11,3.22902e-11
fs,27,3.30,0.9,5.03974e-06,-5.23277e-06,2.16186e-14,-2.452e-14,4.28963e-09,4.68586e-09,-3.9623e-10,-9.99683e-11,7.11772e-11,-9.99399e-11,3.62273e-11
fs,27,3.30,1.65,5.00449e-06,-5.10764e-06,2.18726e-14,-2.29276e-14,4.3706e-09,4.48888e-09,-1.1828e-10,-9.99891e-11,-1.02641e-11,-9.99433e-11,2.81482e-11
fs,27,3.30,2.4,5.06092e-06,-5.20193e-06,2.19745e-14,-2.37699e-14,4.342e-09,4.56945e-09,-2.27448e-10,-9.99884e-11,-6.17534e-12,-9.99425e-11,2.61635e-11
fs,27,3.63,0.9,5.04393e-06,-5.21998e-06,2.16496e-14,-2.48993e-14,4.29221e-09,4.77e-09,-4.77797e-10,-9.99709e-11,6.61418e-11,-9.99454e-11,3.50902e-11
fs,27,3.63,1.65,5.02296e-06,-5.10267e-06,2.19544e-14,-2.35715e-14,4.3708e-09,4.61945e-09,-2.48646e-10,-9.999e-11,-1.44755e-11,-9.99481e-11,2.63026e-11
fs,27,3.63,2.4,4.88205e-06,-5.17858e-06,2.0785e-14,-2.31245e-14,4.25744e-09,4.46541e-09,-2.07968e-10,-9.99905e-11,-2.10277e-11,-9.99508e-11,2.16543e-11
fs,125,2.97,0.9,4.90125e-06,-5.18285e-06,2.15106e-14,-2.45018e-14,4.38879e-09,4.72747e-09,-3.38685e-10,-9.99834e-11,9.77139e-11,-9.99339e-11,4.30498e-11
fs,125,2.97,1.65,4.80616e-06,-5.11863e-06,2.16021e-14,-2.33753e-14,4.49467e-09,4.5667e-09,-7.20288e-11,-9.99904e-11,5.12744e-12,-9.99399e-11,3.29845e-11
fs,125,2.97,2.4,5.22827e-06,-5.40015e-06,2.28388e-14,-2.47188e-14,4.36833e-09,4.57742e-09,-2.09095e-10,-9.99859e-11,3.07368e-11,-9.99322e-11,3.37035e-11
fs,125,3.30,0.9,4.90084e-06,-5.14466e-06,2.15133e-14,-2.48517e-14,4.38971e-09,4.83059e-09,-4.40873e-10,-9.99719e-11,8.9489e-11,-9.994e-11,4.18114e-11
fs,125,3.30,1.65,4.82387e-06,-5.09672e-06,2.16965e-14,-2.38497e-14,4.49773e-09,4.67942e-09,-1.81694e-10,-9.99893e-11,9.14219e-13,-9.99453e-11,3.0188e-11
fs,125,3.30,2.4,4.70322e-06,-5.21558e-06,2.10035e-14,-2.37332e-14,4.46576e-09,4.55045e-09,-8.46871e-11,-9.99895e-11,-3.60845e-12,-9.99466e-11,2.74052e-11
fs,125,3.63,0.9,4.90015e-06,-5.10456e-06,2.15301e-14,-2.52092e-14,4.39376e-09,4.93857e-09,-5.44815e-10,-9.99731e-11,8.31259e-11,-9.99452e-11,4.13843e-11
fs,125,3.63,1.65,4.83771e-06,-5.08071e-06,2.17762e-14,-2.45319e-14,4.50134e-09,4.82845e-09,-3.27114e-10,-9.99902e-11,-5.81743e-13,-9.99495e-11,2.86692e-11
fs,125,3.63,2.4,4.65626e-06,-5.16413e-06,2.0805e-14,-2.34779e-14,4.46819e-09,4.54635e-09,-7.81618e-11,-9.99962e-11,-1.45137e-11,-9.9951e-11,2.24674e-11
sf,-40,2.97,0.9,5.05704e-06,-5.09815e-06,2.16305e-14,-2.35922e-14,4.2773e-09,4.62761e-09,-3.50303e-10,-9.99685e-11,9.94936e-11,-9.9928e-11,2.14377e-11
sf,-40,2.97,1.65,5.1063e-06,-5.01154e-06,2.17807e-14,-2.25434e-14,4.26546e-09,4.49829e-09,-2.32831e-10,-9.99878e-11,1.98142e-11,-9.99287e-11,1.64237e-11
sf,-40,2.97,2.4,5.34658e-06,-5.00248e-06,2.23415e-14,-2.2988e-14,4.17865e-09,4.59531e-09,-4.16663e-10,-9.99855e-11,3.86795e-11,-9.99345e-11,1.65304e-11
sf,-40,3.30,0.9,5.06696e-06,-5.1053e-06,2.1667e-14,-2.38673e-14,4.27614e-09,4.67501e-09,-3.98875e-10,-9.99691e-11,9.09451e-11,-9.99367e-11,1.88893e-11
sf,-40,3.30,1.65,5.13031e-06,-5.0062e-06,2.19389e-14,-2.25891e-14,4.27633e-09,4.51223e-09,-2.35897e-10,-9.99889e-11,1.34161e-11,-9.99332e-11,1.41e-11
sf,-40,3.30,2.4,5.15472e-06,-4.97522e-06,2.01694e-14,-2.16413e-14,3.91281e-09,4.34981e-09,-4.36995e-10,-9.99887e-11,3.39835e-11,-9.99353e-11,1.0878e-11
sf,-40,3.63,0.9,5.07693e-06,-5.11231e-06,2.1707e-14,-2.41757e-14,4.27561e-09,4.72891e-09,-4.53299e-10,-9.99707e-11,8.42908e-11,-9.99399e-11,1.86437e-11
sf,-40,3.63,1.65,5.15167e-06,-5.00766e-06,2.20753e-14,-2.31835e-14,4.28508e-09,4.62961e-09,-3.44532e-10,-9.99899e-11,8.26745e-12,-9.99418e-11,1.35076e-11
sf,-40,3.63,2.4,5.09053e-06,-5.05711e-06,2.03294e-14,-2.24249e-14,3.99358e-09,4.43434e-09,-4.40763e-10,-9.99902e-11,1.69328e-12,-9.99459e-11,7.77789e-12
sf,27,2.97,0.9,5.01981e-06,-5.19141e-06,2.16732e-14,-2.40722e-14,4.31754e-09,4.63693e-09,-3.19394e-10,-9.99753e-11,1.00107e-10,-9.99284e-11,2.58561e-11
sf,27,2.97,1.65,4.95895e-06,-5.10205e-06,2.16027e-14,-2.30742e-14,4.3563e-09,4.52253e-09,-1.66231e-10,-9.99879e-11,2.65817e-11,-9.99355e-11,1.89768e-11
sf,27,2.97,2.4,5.27605e-06,-5.19405e-06,2.21564e-14,-2.3589e-14,4.19944e-09,4.54154e-09,-3.42102e-10,-9.99859e-11,4.66003e-11,-9.99271e-11,1.8101e-11
sf,27,3.30,0.9,5.02549e-06,-5.17333e-06,2.1672e-14,-2.43333e-14,4.31241e-09,4.7036e-09,-3.91187e-10,-9.99744e-11,1.00042e-10,-9.99351e-11,2.34276e-11
sf,27,3.30,1.65,4.98126e-06,-5.0831e-06,2.17486e-14,-2.33924e-14,4.36609e-09,4.60201e-09,-2.3592e-10,-9.99891e-11,2.04104e-11,-9.99456e-11,1.67949e-11
sf,27,3.30,2.4,4.9535e-06,-5.10584e-06,1.98964e-14,-2.20746e-14,4.01663e-09,4.3234e-09,-3.06773e-10,-9.99909e-11,4.07934e-11,-9.9937e-11,1.27591e-11
