corner,temp_c,vdd,band,corner_id,tp1,tp2,tp3,tp4,tp5,tp6,tp7,f1,f2,f3,f4,f5,f6,f7,i1,i2,i3,i4,i5,i6,i7,sw1hi,sw1lo,sw7hi,sw7lo,k1,k2,k3,k4,k5,k6,k7,kvco_min,kvco_max,kvco_mean,kvco_over_f_max,fine_ratio,verdict
typical,-40.0,3.3,band2,typical_-40c_3.30v_band2,3.86553e-07,3.233609e-07,2.753098e-07,2.385225e-07,2.096742e-07,1.867931e-07,1.679971e-07,10347900.0,12370100.0,14529100.0,16769900.0,19077200.0,21414100.0,23809900.0,5.61103e-05,6.332673e-05,7.091958e-05,7.798486e-05,8.587321e-05,9.33232e-05,0.0001006816,3.381063,-0.08155653,3.416038,-0.1117126,6740666.666666668,6968666.666666667,7332999.999999999,7580166.666666665,7740333.333333335,7887833.333333332,7985999.999999993,6740666.666666668,7985999.999999993,7478888.888888888,0.6514043106975007,2.3009402874013083,PASS
typical,-40.0,3.3,band3,typical_-40c_3.30v_band3,2.394766e-07,1.998303e-07,1.695771e-07,1.465e-07,1.28437e-07,1.140681e-07,1.026101e-07,16703100.0,20017000.0,23588100.0,27303800.0,31143700.0,35066800.0,38982500.0,7.302789e-05,8.271666e-05,9.292868e-05,0.0001049704,0.0001151368,0.0001266358,0.0001380705,3.382835,-0.1049914,3.420302,-0.122238,11046333.333333336,11475000.0,12144666.666666664,12592666.666666664,12938333.333333336,13064666.666666664,13052333.33333332,11046333.333333336,13064666.666666664,12377444.444444442,0.6613343231695515,2.3338482078177103,PASS
typical,-40.0,3.3,band4,typical_-40c_3.30v_band4,1.440478e-07,1.19869e-07,1.013411e-07,8.724324e-08,7.63031e-08,6.750084e-08,6.036612e-08,27768600.0,33369800.0,39470700.0,45848800.0,52422500.0,59258500.0,66262300.0,7.939087e-05,9.077983e-05,0.0001028654,0.0001160894,0.0001282353,0.0001414924,0.0001535248,3.401403,-0.1119146,3.451836,-0.1548919,18670666.66666667,19503500.0,20798333.333333332,21586333.33333333,22349500.000000004,23066333.33333333,23345999.999999978,18670666.66666667,23345999.999999978,21385388.888888884,0.6723661497758862,2.3862312107920456,PASS
typical,-40.0,3.3,band5,typical_-40c_3.30v_band5,8.764766e-08,7.251882e-08,6.103903e-08,5.228554e-08,4.547444e-08,4.010957e-08,3.5684e-08,45637300.0,55158100.0,65531800.0,76503000.0,87961500.0,99726800.0,112095000.0,0.0001099755,0.0001259994,0.0001439033,0.0001624929,0.0001814787,0.0002011333,0.0002205245,3.39404,-0.136085,3.448867,-0.1874491,31736000.000000007,33157500.0,35574833.33333333,37382833.33333333,38706333.33333334,40222499.99999999,41227333.3333333,31736000.000000007,41227333.3333333,36920944.44444444,0.6953960904786218,2.456214543805177,PASS
typical,-40.0,3.3,band6,typical_-40c_3.30v_band6,5.009843e-08,4.121421e-08,3.449098e-08,2.939823e-08,2.544965e-08,2.235049e-08,1.98392e-08,79842800.0,97053900.0,115972000.0,136063000.0,157173000.0,178967000.0,201621000.0,0.0001536997,0.0001797351,0.0002085114,0.0002362159,0.0002658834,0.0002955638,0.0003255485,3.349732,-0.09923516,3.345,-0.123909,57370333.33333334,60215333.333333336,65015166.66666666,68668333.33333333,71506666.66666669,74079999.99999999,75513333.33333327,57370333.33333334,75513333.33333327,67654555.55555555,0.7185410999280254,2.5252245662727257,PASS
typical,-40.0,3.3,band7,typical_-40c_3.30v_band7,2.953654e-08,2.411959e-08,2.00606e-08,1.702308e-08,1.470907e-08,1.291001e-08,1.148228e-08,135425000.0,165840000.0,199396000.0,234975000.0,271941000.0,309837000.0,348363000.0,0.0002311893,0.0002696977,0.0003146302,0.0003582648,0.0004056289,0.0004506726,0.0004971424,3.340867,-0.04134716,3.355501,-0.05485815,101383333.33333336,106618333.33333334,115224999.99999999,120908333.33333331,124770000.00000003,127369999.99999999,128419999.99999988,101383333.33333336,128419999.99999988,118298888.88888887,0.7486308534859395,2.572368469632638,PASS
typical,-40.0,3.63,band0,typical_-40c_3.63v_band0,1.11387e-06,9.3785e-07,8.028519e-07,6.997591e-07,6.185443e-07,5.537745e-07,5.008593e-07,3591080.0,4265070.0,4982240.0,5716250.0,6466800.0,7223160.0,7986280.0,4.673016e-05,5.16101e-05,5.597168e-05,6.066338e-05,6.586568e-05,7.029522e-05,7.512872e-05,3.671499,-0.06000404,3.702288,-0.05385015,2246633.333333334,2318600.0,2418633.333333333,2474266.6666666665,2511516.6666666674,2532466.6666666665,2543733.333333331,2246633.333333334,2543733.333333331,2441777.7777777775,0.6256149496344648,2.223921494369382,PASS
typical,-40.0,3.63,band1,typical_-40c_3.63v_band1,7.012509e-07,5.896797e-07,5.039605e-07,4.39272e-07,3.876336e-07,3.467597e-07,3.131755e-07,5704090.0,6783340.0,7937130.0,9105970.0,10319000.0,11535400.0,12772400.0,5.598885e-05,6.188037e-05,6.781943e-05,7.357444e-05,7.98039e-05,8.573722e-05,9.31374e-05,3.691632,-0.05838625,3.706339,-0.09108263,3597500.000000001,3721733.3333333335,3871049.9999999995,3969783.3333333326,4049050.000000001,4088999.9999999995,4123333.3333333298,3597500.000000001,4123333.3333333298,3926838.8888888885,0.630687804715564,2.2391652305626315,PASS
typical,-40.0,3.63,band2,typical_-40c_3.63v_band2,4.196041e-07,3.526377e-07,3.015736e-07,2.623416e-07,2.315366e-07,2.064437e-07,1.864744e-07,9532800.0,11343100.0,13263800.0,15247300.0,17275900.0,19375700.0,21450700.0,6.347189e-05,7.056166e-05,7.722712e-05,8.570311e-05,9.34872e-05,0.0001017568,0.0001090259,3.720199,-0.07750521,3.717517,-0.08688375,6034333.333333335,6218333.333333334,6506999.999999999,6686833.333333332,6880666.666666668,6957999.999999999,6916666.66666666,6034333.333333335,6957999.999999999,6621055.555555555,0.633007440975719,2.250199311849614,PASS
typical,-40.0,3.63,band3,typical_-40c_3.63v_band3,2.627434e-07,2.203649e-07,1.878798e-07,1.630543e-07,1.434436e-07,1.277877e-07,1.150574e-07,15224000.0,18151700.0,21290200.0,24531700.0,27885500.0,31301900.0,34765200.0,8.047146e-05,8.946355e-05,0.0001014596,0.0001124839,0.0001236744,0.0001356666,0.0001467155,3.738263,-0.09620001,3.75151,-0.1260056,9759000.000000002,10110333.333333334,10633333.333333332,10992166.666666664,11283666.66666667,11466166.666666664,11544333.333333323,9759000.000000002,11544333.333333323,10856222.22222222,0.6410273252758804,2.2835785601681557,PASS
typical,-40.0,3.63,band4,typical_-40c_3.63v_band4,1.589267e-07,1.328894e-07,1.12975e-07,9.775087e-08,8.584249e-08,7.622509e-08,6.847471e-08,25168800.0,30100200.0,35406100.0,40920400.0,46597000.0,52476200.0,58415700.0,8.876072e-05,9.969977e-05,0.0001123849,0.0001245777,0.0001377271,0.0001512254,0.0001648217,3.750567,-0.1276331,3.757856,-0.1487293,16438000.000000004,17062166.666666668,18033666.666666664,18651499.999999996,19259666.66666667,19697833.333333332,19798333.333333317,16438000.000000004,19798333.333333317,18470499.999999996,0.6531101999300724,2.3209568990178315,PASS
typical,-40.0,3.63,band5,typical_-40c_3.63v_band5,9.797807e-08,8.157134e-08,6.905729e-08,5.944518e-08,5.19696e-08,4.597004e-08,4.110891e-08,40825500.0,49036800.0,57922900.0,67288900.0,76968100.0,87013200.0,97302500.0,0.0001183538,0.0001350828,0.0001545968,0.0001733002,0.0001926829,0.0002134046,0.0002330047,3.746522,-0.1247545,3.763746,-0.1604706,27371000.000000007,28495666.666666668,30420166.66666666,31741999.999999996,32873833.33333334,33890666.666666664,34297666.666666634,27371000.000000007,34297666.666666634,31376111.11111111,0.670438818875458,2.3833755863369706,PASS
typical,-40.0,3.63,band6,typical_-40c_3.63v_band6,5.662332e-08,4.688476e-08,3.949326e-08,3.384545e-08,2.943502e-08,2.591344e-08,2.306214e-08,70642300.0,85315600.0,101283000.0,118184000.0,135893000.0,154360000.0,173444000.0,0.0001656973,0.0001925107,0.0002201193,0.0002502197,0.0002788381,0.0003104764,0.000340196,3.708211,-0.09370409,3.723961,-0.1784345,48911000.00000001,51067833.333333336,54780666.66666666,57683333.33333333,60293333.33333334,62584999.99999999,63613333.333333276,48911000.00000001,63613333.333333276,57112055.555555545,0.6923755313742617,2.4552428219352995,PASS
typical,-40.0,3.63,band7,typical_-40c_3.63v_band7,3.39084e-08,2.786788e-08,2.329103e-08,1.981849e-08,1.713727e-08,1.502316e-08,1.332648e-08,117965000.0,143534000.0,171740000.0,201832000.0,233409000.0,266256000.0,300154000.0,0.0002434533,0.0002850092,0.0003305534,0.0003753058,0.0004204543,0.0004680204,0.000515912,3.662852,-0.07911169,3.678874,-0.1001032,85230000.00000001,89625000.0,97163333.33333331,102781666.66666666,107373333.33333336,111241666.66666666,112993333.33333324,85230000.00000001,112993333.33333324,101216111.11111109,0.7225024371635655,2.544432670707413,PASS
typical,27.0,2.97,band0,typical_27c_2.97v_band0,8.949255e-07,7.466884e-07,6.347825e-07,5.492897e-07,4.82759e-07,4.299044e-07,3.863421e-07,4469650.0,5356990.0,6301370.0,7282130.0,8285710.0,9304390.0,10353500.0,4.505833e-05,4.960756e-05,5.498462e-05,5.909127e-05,6.411107e-05,6.999145e-05,7.554824e-05,3.024757,-0.05739632,3.026121,-0.07261412,2957800.0000000005,3052866.666666667,3208566.666666666,3307233.333333333,3370433.333333334,3446316.666666666,3497033.33333333,2957800.0000000005,3497033.33333333,3268805.555555555,0.6617520387502378,2.316400613023391,PASS
typical,27.0,2.97,band1,typical_27c_2.97v_band1,5.501135e-07,4.58543e-07,3.888713e-07,3.358057e-07,2.949539e-07,2.61977e-07,2.349868e-07,7271230.0,8723280.0,10286200.0,11911600.0,13561400.0,15268500.0,17022200.0,5.319747e-05,5.941056e-05,6.60355e-05,7.256612e-05,7.973744e-05,8.720347e-05,9.399788e-05,3.041785,-0.08009089,3.046349,-0.08790536,4840166.666666668,5024950.0,5313866.666666666,5458666.666666666,5594833.333333335,5767999.999999999,5845666.666666661,4840166.666666668,5845666.666666661,5417205.555555555,0.6656599594108106,2.341034460469549,PASS
typical,27.0,2.97,band2,typical_27c_2.97v_band2,3.278769e-07,2.722857e-07,2.306809e-07,1.987275e-07,1.738633e-07,1.542493e-07,1.378488e-07,12199700.0,14690500.0,17340000.0,20128100.0,23006600.0,25932100.0,29017300.0,6.006555e-05,6.793117e-05,7.554481e-05,8.391023e-05,9.206073e-05,0.0001004918,0.0001099811,3.061482,-0.08792861,3.079818,-0.1366152,8302666.666666669,8567166.666666668,9062666.666666666,9444333.333333332,9673333.333333336,10017833.333333332,10283999.99999999,8302666.666666669,10283999.99999999,9343111.11111111,0.6805631832476756,2.378525701451675,PASS
typical,27.0,2.97,band3,typical_27c_2.97v_band3,1.990337e-07,1.648075e-07,1.389702e-07,1.193402e-07,1.040665e-07,9.198786e-08,8.213916e-08,20097100.0,24270700.0,28783200.0,33517600.0,38437000.0,43484000.0,48697800.0,7.717358e-05,8.759317e-05,0.0001001072,0.0001115244,0.000123858,0.0001365255,0.0001497824,3.06891,-0.1148718,3.102728,-0.1398088,13912000.000000004,14476833.333333334,15411499.999999998,16089666.666666664,16610666.66666667,17101333.333333332,17379333.333333317,13912000.000000004,17379333.333333317,15889277.777777776,0.6922391787869894,2.423125724607033,PASS
typical,27.0,2.97,band4,typical_27c_2.97v_band4,1.157539e-07,9.547348e-08,8.020723e-08,6.856954e-08,5.955739e-08,5.24449e-08,4.667894e-08,34556100.0,41896500.0,49870800.0,58334900.0,67162100.0,76270500.0,85691800.0,8.56939e-05,9.826955e-05,0.0001117615,0.0001248972,0.0001390543,0.0001534118,0.0001674536,3.054226,-0.09922162,3.121073,-0.1590469,24468000.000000004,25524500.0,27397333.33333333,28818833.33333333,29892666.66666667,30882833.33333333,31404333.333333306,24468000.000000004,31404333.333333306,28408722.222222216,0.7080660143939855,2.4797879390324717,PASS
typical,27.0,2.97,band5,typical_27c_2.97v_band5,6.870154e-08,5.630385e-08,4.701382e-08,3.999322e-08,3.458954e-08,3.031716e-08,2.689109e-08,58222900.0,71043100.0,85081400.0,100017000.0,115642000.0,131938000.0,148748000.0,0.0001175899,0.0001367987,0.0001573368,0.000177569,0.0001989682,0.0002214877,0.0002431397,3.018991,-0.1058225,3.034953,-0.1362715,42734000.00000001,44764166.66666667,48289833.33333333,50934333.33333333,53201666.66666668,55176666.66666666,56033333.33333328,42734000.00000001,56033333.33333328,50291722.22222222,0.7339723716956731,2.5548023200493275,PASS
typical,27.0,2.97,band6,typical_27c_2.97v_band6,3.890957e-08,3.168127e-08,2.633308e-08,2.235326e-08,1.933661e-08,1.699362e-08,1.514181e-08,102802000.0,126258000.0,151900000.0,178945000.0,206862000.0,235382000.0,264169000.0,0.0001676561,0.0001960549,0.0002257704,0.0002586808,0.0002895657,0.0003212238,0.0003531908,3.007345,-0.04790138,3.021697,-0.07033116,78186666.66666669,81830000.0,87811666.66666666,91603333.33333331,94061666.66666669,95511666.66666666,95956666.66666658,78186666.66666669,95956666.66666658,89648333.33333331,0.7605558906117263,2.56968736016809,PASS
typical,27.0,2.97,band7,typical_27c_2.97v_band7,2.239655e-08,1.825522e-08,1.525063e-08,1.305407e-08,1.140828e-08,1.014164e-08,9.146237e-09,178599000.0,219115000.0,262284000.0,306418000.0,350623000.0,394414000.0,437338000.0,0.0002498274,0.0002959932,0.0003439707,0.0003904205,0.0004385303,0.0004842856,0.0005327319,3.017072,-0.03925204,3.031826,-0.04864629,135053333.33333337,139475000.0,145504999.99999997,147231666.66666666,146660000.00000003,144524999.99999997,143079999.99999988,135053333.33333337,147231666.66666666,143743888.88888887,0.7561819121794264,2.4487147184474716,PASS
typical,27.0,3.3,band0,typical_27c_3.30v_band0,9.870994e-07,8.269039e-07,7.052698e-07,6.129056e-07,5.400655e-07,4.818737e-07,4.342591e-07,4052280.0,4837320.0,5671590.0,6526290.0,7406510.0,8300930.0,9211090.0,4.965078e-05,5.416343e-05,5.954343e-05,6.352887e-05,6.943151e-05,7.456841e-05,8.020795e-05,3.347272,-0.04457147,3.363994,-0.07912355,2616800.0000000005,2698850.0,2814949.9999999995,2891533.333333333,2957733.333333334,3007633.333333333,3033866.666666664,2616800.0000000005,3033866.666666664,2866005.555555555,0.6457599178733948,2.2730635592802075,PASS
typical,27.0,3.3,band1,typical_27c_3.30v_band1,6.120313e-07,5.123878e-07,4.367405e-07,3.784171e-07,3.332839e-07,2.967942e-07,2.673555e-07,6535610.0,7806590.0,9158760.0,10570300.0,12001800.0,13477400.0,14961400.0,5.76899e-05,6.470895e-05,7.13434e-05,7.817159e-05,8.459582e-05,9.202364e-05,0.0001001794,3.37036,-0.06953384,3.411012,-0.106621,4236600.000000001,4371916.666666667,4606183.333333333,4738399.999999999,4845166.666666668,4932666.666666666,4946666.666666662,4236600.000000001,4946666.666666662,4680994.444444444,0.6482332942143122,2.289212483609028,PASS
typical,27.0,3.3,band2,typical_27c_3.30v_band2,3.673986e-07,3.068689e-07,2.608212e-07,2.258145e-07,1.984226e-07,1.763423e-07,1.586503e-07,10887400.0,13034900.0,15336200.0,17713700.0,20159000.0,22683200.0,25212700.0,6.55204e-05,7.333638e-05,8.152083e-05,8.940487e-05,9.794936e-05,0.0001073103,0.0001160022,3.392917,-0.1024865,3.405788,-0.1394679,7158333.333333335,7414666.666666667,7797999.999999999,8037999.999999999,8282500.000000002,8422833.333333332,8431666.666666659,7158333.333333335,8431666.666666659,7958499.999999999,0.657487860585019,2.315768686738799,PASS
typical,27.0,3.3,band3,typical_27c_3.30v_band3,2.258147e-07,1.881129e-07,1.594581e-07,1.375103e-07,1.204368e-07,1.067859e-07,9.566125e-08,17713600.0,21263800.0,25085000.0,29088700.0,33212400.0,37458100.0,41814200.0,8.340284e-05,9.418564e-05,0.0001059233,0.0001186053,0.0001307886,0.0001437272,0.0001554278,3.410651,-0.09749909,3.425125,-0.1329689,11834000.000000002,12285666.666666668,13041499.999999998,13545666.666666664,13949000.000000004,14336333.333333332,14520333.33333332,11834000.000000002,14520333.33333332,13389222.22222222,0.6680742480354079,2.3605704091771296,PASS
typical,27.0,3.3,band4,typical_27c_3.30v_band4,1.324037e-07,1.099095e-07,9.286928e-08,7.985775e-08,6.966477e-08,6.161744e-08,5.506848e-08,30210600.0,36393600.0,43071300.0,50089100.0,57417800.0,64916700.0,72636800.0,9.243372e-05,0.0001055368,0.0001189852,0.0001324808,0.0001472731,0.000161474,0.0001759646,3.412415,-0.114616,3.426964,-0.1361393,20610000.000000004,21434500.0,22825833.33333333,23910833.33333333,24712666.66666667,25364999.999999996,25733666.666666646,20610000.000000004,25733666.666666646,23570111.11111111,0.6822108796250324,2.4043481427048783,PASS
typical,27.0,3.3,band5,typical_27c_3.30v_band5,7.984297e-08,6.589179e-08,5.535764e-08,4.73351e-08,4.11041e-08,3.614368e-08,3.214477e-08,50098300.0,60705600.0,72257400.0,84503900.0,97313900.0,110669000.0,124437000.0,0.000125164,0.0001445603,0.0001660445,0.0001855941,0.0002077732,0.0002301097,0.0002524833,3.400472,-0.1211516,3.402617,-0.1286827,35357666.66666667,36931833.333333336,39663833.33333333,41760833.33333333,43608500.00000001,45205166.66666666,45893333.33333329,35357666.66666667,45893333.33333329,41299277.77777777,0.705765797774908,2.4838567376537726,PASS
typical,27.0,3.3,band6,typical_27c_3.30v_band6,4.580144e-08,3.752105e-08,3.130435e-08,2.660554e-08,2.298695e-08,2.015028e-08,1.787361e-08,87333500.0,106607000.0,127778000.0,150345000.0,174012000.0,198508000.0,223794000.0,0.0001770352,0.000206127,0.0002375414,0.0002690503,0.0003019838,0.0003350127,0.0003682709,3.328783,-0.05795447,3.344111,-0.0987093,64245000.000000015,67407500.0,72896666.66666666,77056666.66666666,80271666.66666669,82969999.99999999,84286666.6666666,64245000.000000015,84286666.6666666,75811388.88888888,0.735628367121437,2.562521827248421,PASS
typical,27.0,3.3,band7,typical_27c_3.30v_band7,2.659838e-08,2.164178e-08,1.798075e-08,1.527029e-08,1.322487e-08,1.164034e-08,1.039468e-08,150385000.0,184828000.0,222460000.0,261947000.0,302460000.0,343633000.0,384812000.0,0.0002607826,0.0003089653,0.0003582583,0.0004071912,0.0004580907,0.000506913,0.000559717,3.33876,-0.03572128,3.355172,-0.04683113,114810000.00000003,120125000.0,128531666.66666664,133333333.33333331,136143333.33333337,137253333.3333333,137263333.33333322,114810000.00000003,137263333.33333322,130237222.22222221,0.763440502709712,2.5588456295508197,PASS
typical,27.0,3.63,band0,typical_27c_3.63v_band0,1.06013e-06,8.928413e-07,7.639392e-07,6.656649e-07,5.881065e-07,5.258262e-07,4.760186e-07,3773120.0,4480080.0,5236020.0,6009030.0,6801490.0,7607080.0,8403030.0,5.551475e-05,6.066329e-05,6.510316e-05,6.868819e-05,7.464146e-05,8.002133e-05,8.599724e-05,3.675221,-0.04496144,3.722333,-0.07780167,2356533.333333334,2438166.666666667,2548249.9999999995,2609116.6666666665,2663416.6666666674,2669233.333333333,2653166.666666664,2356533.333333334,2669233.333333333,2572172.222222222,0.6245582789132956,2.227077325926554,PASS
typical,27.0,3.63,band1,typical_27c_3.63v_band1,6.636931e-07,5.572863e-07,4.77101e-07,4.145896e-07,3.663197e-07,3.273256e-07,2.95246e-07,6026880.0,7177640.0,8383970.0,9648100.0,10919400.0,12220200.0,13548000.0,6.462804e-05,6.941548e-05,7.711183e-05,8.307987e-05,9.162916e-05,9.844982e-05,0.000106292,3.714327,-0.06875146,3.730174,-0.09222181,3835866.6666666674,3928483.3333333335,4117433.3333333326,4225716.666666666,4286833.333333334,4380999.999999999,4425999.999999996,3835866.6666666674,4425999.999999996,4178399.9999999995,0.6364597713355281,2.247929276839758,PASS
typical,27.0,3.63,band2,typical_27c_3.63v_band2,4.002209e-07,3.358358e-07,2.869419e-07,2.494232e-07,2.195458e-07,1.958186e-07,1.765587e-07,9994480.0,11910600.0,13940100.0,16037000.0,18219400.0,20427100.0,22655400.0,7.208421e-05,7.983823e-05,8.728205e-05,9.701923e-05,0.0001049857,0.0001125161,0.000123464,3.721522,-0.093641,3.723095,-0.1012151,6387066.666666668,6576033.333333334,6877333.333333332,7132166.666666666,7316833.333333335,7393333.333333332,7427666.66666666,6387066.666666668,7427666.66666666,7033844.444444443,0.6390594274706306,2.266791268780367,PASS
typical,27.0,3.63,band3,typical_27c_3.63v_band3,2.486241e-07,2.079875e-07,1.772576e-07,1.535481e-07,1.349787e-07,1.201e-07,1.077921e-07,16088500.0,19231900.0,22566000.0,26050500.0,29634300.0,33305600.0,37108500.0,9.083128e-05,0.0001013111,0.0001134519,0.0001266036,0.0001385279,0.0001528005,0.0001639315,3.736851,-0.09681012,3.764164,-0.1467941,10478000.000000002,10795833.333333334,11364333.333333332,11780499.999999998,12091833.333333336,12456999.999999998,12676333.333333323,10478000.000000002,12676333.333333323,11677777.777777776,0.6512726481648383,2.306523293035398,PASS
